"","Bosque Ripario","Bosque Denso","Vías","Pastos","Herbazal","Bosque Abierto","Ciénaga"
"Dendrobates truncatus",196,4,0,0,0,0,0
"Anura",3,0,0,0,0,0,0
"Pseudopaludicola pusilla",48,0,0,0,21,0,0
"Scinax rostratus",54,1,1,0,2,4,2
"Scinax ruber",27,4,33,0,45,12,0
"Engystomops pustulosus",318,7,5,0,9,10,0
"Rhinella horribilis",14,1,10,0,0,0,0
"Craugastor metriosistus",69,1,0,0,2,1,0
"Rhinella margaritifera",1,0,0,0,0,0,0
"Leptodactylus insularum",28,0,1,0,15,0,0
"Lithobates vaillanti",75,0,0,0,0,0,0
"Scarthyla vigilans",1,0,0,0,62,1,50
"Boana pugnax",41,1,1,3,37,25,2
"Pristimantis gaigei",6,5,0,0,0,0,0
"Smilisca phaeota",1,3,0,0,0,0,0
"Bolitoglossa lozanoi",7,1,0,0,1,0,0
"Phyllomedusa venusta",6,2,1,0,0,0,0
"Dendropsophus microcephalus",12,0,41,0,99,20,42
"Leptodactylus fuscus",12,0,4,2,29,0,0
"Elachistocleis pearsei",9,0,1,0,2,0,0
"Allobates niputidea",3,0,0,0,0,0,0
"Leptodactylus savagei",11,0,0,0,0,0,0
"Leptodactylus colombiensis",2,0,0,0,0,0,0
"Leptodactylus fragilis",3,0,3,0,33,1,1
"Pleurodema brachyops",0,0,1,2,1,0,0
"Rhinella humboldti",0,0,1,1,4,0,0
"Elachistocleis panamensis",0,0,0,0,4,0,0
"Pseudis paradoxa",0,0,0,0,2,0,26
"Trachycephalus typhonius",0,0,1,0,0,0,0
