"","Bosque Ripario","Palma","Bosque Denso"
"Momotus subrufescens",2,0,0
"Cantorchilus leucotis",3,0,0
"Chloroceryle aenea",1,0,0
"Sporophila funerea",2,0,0
"Glyphorynchus spirurus",3,0,0
"Thamnophilus nigriceps",4,0,0
"Gymnocichla nudiceps",1,0,0
"Manacus manacus",16,0,3
"Phaethornis anthophilus",7,0,0
"Megascops choliba",0,1,0
"Nyctidromus albicollis",0,1,0
"Poecilotriccus sylvia",7,0,0
"Myrmeciza longipes",1,0,0
"Cercomacra nigricans",1,0,0
"Xiphorhynchus susurrans",3,0,0
"Legatus leucophaius",2,0,0
"Volatinia jacarina",1,0,0
"Dendroplex picus",1,0,0
"Coereba flaveola",1,0,0
"Inezia caudata",1,0,0
"Oncostoma olivaceum",0,0,1
"Mionectes oleagineus",0,0,1
