"","Caracterizacion","Kale","Platero"
"Volatinia jacarina",6,11,12
"Chrysolampis mosquitus",13,0,0
"Formicivora grisea",7,3,3
"Columbina minuta",8,1,0
"Megarynchus pitangua",1,20,16
"Leptotila verreauxi",25,75,42
"Coereba flaveola",19,14,5
"Columbina talpacoti",17,51,17
"Sporophila funerea",10,23,14
"Thamnophilus nigriceps",6,12,4
"Ortalis garrula",5,42,4
"Ortalis columbiana",9,21,14
"Campylorhynchus griseus",23,183,90
"Crotophaga ani",49,101,55
"Crypturellus soui",12,15,7
"Milvago chimachima",25,60,68
"Eupsittula pertinax",1,124,8
"Poecilotriccus sylvia",17,13,5
"Myrmeciza longipes",1,4,2
"Cathartes aura",9,6,22
"Furnarius leucopus",2,6,9
"Coragyps atratus",10,12,8
"Cyanocorax affinis",3,0,0
"Tyrannus melancholicus",14,51,44
"Patagioenas cayennensis",10,103,37
"Megaceryle torquata",1,16,2
"Dendroplex picus",4,15,14
"Xiphorhynchus susurrans",6,22,6
"Streptoprocne zonaris",5,0,0
"Thraupis palmarum",8,23,25
"Rupornis magnirostris",13,44,25
"Buteo nitidus",1,1,5
"Tyrannulus elatus",1,3,2
"Bubulcus ibis",16,86,80
"Icterus auricapillus",4,0,4
"Elaenia flavogaster",2,10,9
"Thraupis episcopus",4,39,22
"Cathartes burrovianus",11,3,3
"Pteroglossus torquatus",2,10,6
"Florisuga mellivora",1,0,0
"Fluvicola pica",0,15,4
"Jacana jacana",0,56,3
"Pitangus sulphuratus",0,62,38
"Todirostrum cinereum",2,12,3
"Phimosus infuscatus",0,32,14
"Saltator coerulescens",2,19,11
"Donacobius atricapilla",0,15,0
"Colaptes punctigula",0,6,3
"Ardea alba",0,10,3
"Chrysomus icterocephalus",0,54,20
"Dendrocygna autumnalis",0,83,4
"Vanellus chilensis",3,11,7
"Certhiaxis cinnamomeus",0,15,0
"Ardea cocoi",0,10,4
"Sakesphorus canadensis",2,9,4
"Crotophaga major",15,86,32
"Melanerpes rubricapillus",2,20,19
"Hypnelus ruficollis",0,4,3
"Butorides striata",0,16,7
"Synallaxis candei",0,2,0
"Herpetotheres cachinnans",0,4,2
"Icterus nigrogularis",1,25,11
"Nemosia pileata",1,2,0
"Pachyramphus cinnamomeus",0,3,0
"Campylorhynchus zonatus",0,10,0
"Aramides cajaneus",0,14,8
"Myiozetetes cayanensis",1,15,5
"Camptostoma obsoletum",0,5,5
"Myiozetetes similis",0,2,6
"Leistes militaris",1,0,11
"Euphonia laniirostris",1,13,12
"Brotogeris jugularis",0,1,4
"Forpus conspicillatus",0,10,1
"Zenaida auriculata",0,5,1
"Mimus gilvus",0,0,3
"Molothrus bonariensis",0,3,5
"Amazona amazonica",0,22,24
"Machetornis rixosa",0,3,1
"Falco sparverius",1,5,4
"Amazona farinosa",4,0,0
"Manacus manacus",15,13,11
"Attila spadiceus",3,0,0
"Phaethornis striigularis",2,0,0
"Mionectes oleagineus",4,0,0
"Porphyrio martinica",0,34,1
"Quiscalus lugubris",0,73,0
"Sicalis flaveola",0,7,0
"Anthracothorax nigricollis",0,1,4
"Dryocopus lineatus",1,9,9
"Progne tapera",1,748,0
"Tyrannus savana",0,3,0
"Chauna chavaria",0,17,0
"Tigrisoma lineatum",0,1,0
"Tapera naevia",0,4,3
"Rostrhamus sociabilis",0,5,0
"Ara ararauna",0,7,0
"Arundinicola leucocephala",0,4,0
"Nycticorax nycticorax",0,6,0
"Tachycineta albiventer",0,1,0
"Phaetusa simplex",0,2,0
"Laterallus albigularis",0,2,0
"Ramphocelus dimidiatus",2,11,2
"Chlorostilbon gibsoni",1,1,0
"Dendrocygna viduata",0,6,0
"Caracara cheriway",6,8,17
"Chloroceryle amazona",0,2,1
"Cantorchilus leucotis",0,4,0
"Busarellus nigricollis",0,3,0
"Amazilia tzacatl",1,4,2
"Cercomacra nigricans",2,21,0
"Colinus cristatus",4,3,3
"Polyerata amabilis",0,0,2
"Buteogallus meridionalis",4,3,3
"Chrysuronia goudoti",1,6,1
"Troglodytes aedon",0,2,14
"Veniliornis kirkii",1,2,1
"Glyphorynchus spirurus",0,1,1
"Myiarchus tuberculifer",0,0,1
"Pilherodius pileatus",0,0,3
"Mesembrinibis cayennensis",1,3,1
"Crotophaga sulcirostris",0,1,3
"Micrastur semitorquatus",0,0,2
"Legatus leucophaius",0,4,2
"Psarocolius decumanus",12,2,19
"Hylophilus flavipes",0,0,3
"Momotus subrufescens",7,14,5
"Geranospiza caerulescens",0,1,1
"Trogon chionurus",0,0,1
"Chloroceryle inda",0,0,2
"Phaethornis anthophilus",1,7,2
"Pheugopedius fasciatoventris",1,6,2
"Myiodynastes maculatus",0,5,0
"Amazona",0,4,0
"Leptodon cayanensis",0,1,0
"Phaethornis longirostris",0,1,0
"Onychorhynchus coronatus",1,0,0
"Epinecrophylla fulviventris",1,0,0
"Cacicus cela",2,0,0
"Falco femoralis",2,0,0
"Columbina squammata",0,0,1
"Sporophila minuta",3,0,0
"Thamnophilus doliatus",2,0,0
"Chloroceryle americana",0,0,3
"Celeus loricatus",0,2,0
"Coccycua minuta",0,2,0
"Anurolimnas viridis",0,1,0
"Ictinia plumbea",2,0,0
"Nyctibius grandis",1,0,0
"Piaya cayana",0,1,0
"Molothrus oryzivorus",0,1,0
