"","Bosque Abierto","Bosque Ripario","Herbazal","Bosque Denso","Pastos"
"Pseudocanthon perplexus",40,136,146,0,0
"Canthon septemmaculatus",101,187,363,2,23
"Eurysternus mexicanus",0,57,7,2,10
"Onthophagus lebasi",0,58,9,0,0
"Canthon juvencus",20,491,66,107,6
"Coprophanaeus gamezi",0,23,14,0,0
"Coprophanaeus corythus",0,107,1,1,0
"Sylvicanthon aequinoctialis",0,1006,0,282,0
"Onthophagus sp.01H",12,1692,299,2,41
"Canthidium sp.02H",0,38,4,0,0
"Uroxys sp.02H",0,23,30,3,0
"Onthophagus marginicollis",0,113,183,2,443
"Canthon sp.06H",13,70,14,0,0
"Canthon sp.10H",1,10,49,0,39
"Ateuchus aeneomicans",0,64,0,0,0
"Canthidium sp.12H",0,42,0,0,0
"Deltochilum guildingii",1,23,14,4,1
"Dichotomius agenor",0,517,158,1,9
"Canthidium sp.05H",0,61,0,0,0
"Eurysternus foedus",0,6,0,2,0
"Trichillidium pilosum",0,18,0,0,0
"Canthon subhyalinus",0,31,0,24,0
"Eurysternus plebejus",0,21,0,5,0
"Canthon sp.05H",0,3,0,0,0
"Dichotomius andresi",0,0,0,4,0
"Phanaeus hermes",0,32,0,0,1
"Pseudocanthon xanthurus",0,0,14,0,0
"Dichotomius sp.03H",0,33,210,0,1
"Canthon lituratus",0,0,1,0,6
"Uroxys sp.05H",0,0,1,12,1
"Canthidium sp.10H",0,19,0,0,0
"Scatimus ovatus",0,0,0,1,0
"Onthophagus acuminatus",0,0,0,1,1
"Digitonthophagus gazella",0,0,3,0,1
"Canthon sp.09H",0,3,0,0,0
"Canthidium sp.01H",0,0,55,0,0
