"","Ciénaga","Caño","Río Magdalena","Quebrada"
"Ctenolucius hujeta",2,0,1,1
"Triportheus magdalenae",4,0,1,0
"Cyphocharax magdalenae",17,0,0,0
"Megaleporinus muyscorum",0,1,4,0
"Brycon henni",0,2,0,0
"Rhamdia guatemalensis",0,2,0,0
"Prochilodus magdalenae",2,0,11,0
"Trachelyopterus insignis",0,0,10,0
"Curimata mivartii",2,0,2,0
"Sternopygus aequilabiatus",0,0,1,0
"Cynopotamus magdalenae",0,0,8,0
"Ageneiosus pardalis",0,0,1,0
"Pseudopimelodus atricaudus",0,0,1,0
"Trichopodus pectoralis",3,3,0,0
"Caquetaia kraussii",12,6,0,0
"Roeboides dayi",1,0,0,0
"Hypostomus hondae",0,1,0,0
"Hypostomus",0,1,0,0
"Hoplias malabaricus",0,1,0,0
