"","Caño","Quebrada","Ciénaga","Río Magdalena"
"Cyphocharax magdalenae",191,7,10,0
"Astyanax magdalenae",15,111,22,8
"Andinoacara latifrons",46,31,22,0
"Caquetaia kraussii",26,2,9,0
"Astyanax sp. 1",0,64,0,0
"Geophagus steindachneri",1,5,0,0
"Curimata mivartii",1,0,1,1
"Triportheus magdalenae",0,0,5,21
"Astyanax filiferus",0,0,1,19
"Roeboides dayi",2,25,17,0
"Bunocephalus colombianus",4,6,0,0
"Astyanax yariguies",0,3,0,0
"Gasteropelecus maculatus",0,40,0,0
"Megaleporinus muyscorum",0,0,0,6
"Ichthyoelephas longirostris",0,0,0,1
"Prochilodus magdalenae",7,0,15,6
"Crossoloricaria variegata",0,0,0,4
"Loricariichthys brunneus",0,0,0,1
"Pimelodus grosskopfii",0,0,0,16
"Pimelodus yuma",0,0,0,33
"Pseudopimelodus atricaudus",0,0,0,2
"Argopleura magdalenensis",0,0,0,6
"Cynopotamus magdalenae",0,0,0,1
"Sturisomatichthys aureus",0,53,0,2
"Potamotrygon magdalenae",0,0,0,1
"Crossoloricaria cephalaspis",0,0,0,1
"Dasyloricaria filamentosa",10,3,0,0
"Rhamdia guatemalensis",0,4,0,0
"Astyanax sp. 2",48,13,0,0
"Hoplosternum magdalenae",1,0,0,0
"Rineloricaria magdalenae",73,3,0,0
"Hypostomus hondae",14,11,0,0
"Trichopodus pectoralis",28,0,0,0
"Ancistrus caucanus",0,30,0,0
"Oreochromis niloticus",1,2,0,0
"Hoplias",0,1,0,0
"Ctenolucius hujeta",1,0,1,0
"Trachelyopterus insignis",6,0,0,0
"Leporinus striatus",0,1,0,0
"Hyphessobrycon natagaima",3,0,0,0
