"","Platero","Caracterizacion","Kale"
"Andinoacara latifrons",56,15,54
"Brachyhypopomus occidentalis",15,8,19
"Caquetaia kraussii",84,36,9
"Poecilia caucana",145,43,61
"Rivulus xi",43,7,14
"Gephyrocharax melanocheir",139,76,1
"Roeboides dayi",68,21,38
"Gasteropelecus maculatus",33,30,24
"Ctenolucius hujeta",23,3,53
"Hoplosternum magdalenae",33,1,10
"Characidium zebra",67,70,15
"Astyanax magdalenae",223,106,131
"Hyphessobrycon natagaima",393,51,266
"Cyphocharax magdalenae",15,2,15
"Eigenmannia camposi",33,9,50
"Astyanax sp. 1",44,20,4
"Hoplias malabaricus",5,3,5
"Astyanax yariguies",0,2,4
"Farlowella yarigui",0,1,0
"Kronoheros umbrifer",0,1,1
"Saccoderma hastata",62,131,4
"Nanocheirodon insignis",121,62,183
"Synbranchus marmoratus",3,1,0
"Apteronotus milesi",2,3,8
"Rhamdia guatemalensis",6,0,1
"Leporinus striatus",1,2,0
"Sturisomatichthys aureus",12,3,0
"Bunocephalus colombianus",8,4,9
"Ancistrus caucanus",12,0,0
"Rineloricaria magdalenae",39,5,34
"Sternopygus aequilabiatus",0,1,1
"Astyanax sp. 2",23,2,47
"Cynopotamus magdalenae",0,0,3
"Hypostomus hondae",3,1,0
"Dasyloricaria filamentosa",3,0,112
"Megaleporinus muyscorum",5,0,0
"Prochilodus magdalenae",7,3,1
"Trichopodus pectoralis",9,0,15
"Pimelodella floridablancaensis",0,1,0
"Geophagus steindachneri",0,2,0
"Paravandellia phaneronema",0,19,0
"Astyanax filiferus",9,4,28
"Imparfinis usmai",0,1,0
"Creagrutus magdalenae",24,0,40
"Trichopodus trichopterus",0,0,19
"Trachelyopterus insignis",4,0,13
"Triportheus magdalenae",12,0,1
"Argopleura magdalenensis",191,0,64
"Dupouyichthys sapito",1,0,0
"Pimelodus yuma",37,0,2
"Cetopsorhamdia molinae",1,0,0
"Megalonema xanthum",1,0,1
"Curimata mivartii",0,0,1
"Pseudopimelodus atricaudus",0,0,4
"Apteronotus mariae",0,0,1
"Microgenys minuta",0,0,1
"Pimelodus grosskopfii",0,0,25
