"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Caracterizacion","Basiliscus galeritus",TRUE,1,24,30.4,NA,NA,30.4,1.4,6.2
"2","VES","Caracterizacion","Gonatodes albogularis",TRUE,2,14,17.7,NA,NA,48.1,1.1,12.5
"3","VES","Caracterizacion","Anolis tropidogaster",TRUE,3,13,16.5,NA,NA,64.6,1.1,18.8
"4","VES","Caracterizacion","Imantodes cenchoa",FALSE,4,5,6.3,NA,NA,70.9,0.7,25
"5","VES","Caracterizacion","Anolis auratus",FALSE,5,3,3.8,NA,NA,74.7,0.5,31.2
"6","VES","Caracterizacion","Leptodeira annulata",FALSE,6,3,3.8,NA,NA,78.5,0.5,37.5
"7","VES","Caracterizacion","Loxopholis rugiceps",FALSE,7,3,3.8,NA,NA,82.3,0.5,43.8
"8","VES","Caracterizacion","Enuliophis sclateri",FALSE,8,2,2.5,NA,NA,84.8,0.3,50
"9","VES","Caracterizacion","Hemidactylus frenatus",FALSE,9,2,2.5,NA,NA,87.3,0.3,56.2
"10","VES","Caracterizacion","Thecadactylus rapicauda",FALSE,10,2,2.5,NA,NA,89.9,0.3,62.5
"11","VES","Caracterizacion","Rhinoclemmys melanosterna",FALSE,11,2,2.5,NA,NA,92.4,0.3,68.8
"12","VES","Caracterizacion","Cnemidophorus lemniscatus",FALSE,12,2,2.5,NA,NA,94.9,0.3,75
"13","VES","Caracterizacion","Lepidoblepharis xanthostigma",FALSE,13,1,1.3,NA,NA,96.2,0,81.2
"14","VES","Caracterizacion","Mastigodryas boddaerti",FALSE,14,1,1.3,NA,NA,97.5,0,87.5
"15","VES","Caracterizacion","Lygophis lineatus",FALSE,15,1,1.3,NA,NA,98.7,0,93.8
"16","VES","Caracterizacion","Sphaerodactylus lineolatus",FALSE,16,1,1.3,NA,NA,100,0,100
"17","VES","Kale","Basiliscus galeritus",TRUE,1,61,21.6,NA,NA,21.6,1.8,3
"18","VES","Kale","Caiman crocodilus",TRUE,2,39,13.8,NA,NA,35.3,1.6,6.1
"19","VES","Kale","Loxopholis rugiceps",TRUE,3,34,12,NA,NA,47.3,1.5,9.1
"20","VES","Kale","Gonatodes albogularis",FALSE,4,33,11.7,NA,NA,59,1.5,12.1
"21","VES","Kale","Anolis tropidogaster",FALSE,5,27,9.5,NA,NA,68.6,1.4,15.2
"22","VES","Kale","Anolis auratus",FALSE,6,11,3.9,NA,NA,72.4,1,18.2
"23","VES","Kale","Imantodes cenchoa",FALSE,7,9,3.2,NA,NA,75.6,1,21.2
"24","VES","Kale","Mabuya",FALSE,8,7,2.5,NA,NA,78.1,0.8,24.2
"25","VES","Kale","Iguana iguana",FALSE,9,7,2.5,NA,NA,80.6,0.8,27.3
"26","VES","Kale","Leptodeira annulata",FALSE,10,6,2.1,NA,NA,82.7,0.8,30.3
"27","VES","Kale","Bothrops asper",FALSE,11,6,2.1,NA,NA,84.8,0.8,33.3
"28","VES","Kale","Holcosus festivus",FALSE,12,5,1.8,NA,NA,86.6,0.7,36.4
"29","VES","Kale","Alopoglossus festae",FALSE,13,4,1.4,NA,NA,88,0.6,39.4
"30","VES","Kale","Leptophis ahaetulla",FALSE,14,4,1.4,NA,NA,89.4,0.6,42.4
"31","VES","Kale","Corallus ruschenbergerii",FALSE,15,3,1.1,NA,NA,90.5,0.5,45.5
"32","VES","Kale","Lepidoblepharis xanthostigma",FALSE,16,2,0.7,NA,NA,91.2,0.3,48.5
"33","VES","Kale","Dendrophidion percarinatum",FALSE,17,2,0.7,NA,NA,91.9,0.3,51.5
"34","VES","Kale","Anolis",FALSE,18,2,0.7,NA,NA,92.6,0.3,54.5
"35","VES","Kale","Pseudoboa neuwiedii",FALSE,19,2,0.7,NA,NA,93.3,0.3,57.6
"36","VES","Kale","Thamnodynastes gambotensis",FALSE,20,2,0.7,NA,NA,94,0.3,60.6
"37","VES","Kale","Sphaerodactylus lineolatus",FALSE,21,2,0.7,NA,NA,94.7,0.3,63.6
"38","VES","Kale","Kinosternon scorpioides",FALSE,22,2,0.7,NA,NA,95.4,0.3,66.7
"39","VES","Kale","Clelia clelia",FALSE,23,2,0.7,NA,NA,96.1,0.3,69.7
"40","VES","Kale","Trachemys callirostris",FALSE,24,2,0.7,NA,NA,96.8,0.3,72.7
"41","VES","Kale","Micrurus dumerilii",FALSE,25,1,0.4,NA,NA,97.2,0,75.8
"42","VES","Kale","Helicops danieli",FALSE,26,1,0.4,NA,NA,97.5,0,78.8
"43","VES","Kale","Chironius spixii",FALSE,27,1,0.4,NA,NA,97.9,0,81.8
"44","VES","Kale","Enuliophis sclateri",FALSE,28,1,0.4,NA,NA,98.2,0,84.8
"45","VES","Kale","Porthidium lansbergii",FALSE,29,1,0.4,NA,NA,98.6,0,87.9
"46","VES","Kale","Tupinambis cryptus",FALSE,30,1,0.4,NA,NA,98.9,0,90.9
"47","VES","Kale","Oxybelis aeneus",FALSE,31,1,0.4,NA,NA,99.3,0,93.9
"48","VES","Kale","Oxyrhopus petolarius",FALSE,32,1,0.4,NA,NA,99.6,0,97
"49","VES","Kale","Lepidoblepharis",FALSE,33,1,0.4,NA,NA,100,0,100
"50","VES","Platero","Anolis auratus",TRUE,1,40,18.6,NA,NA,18.6,1.6,3.7
"51","VES","Platero","Basiliscus galeritus",TRUE,2,35,16.3,NA,NA,34.9,1.5,7.4
"52","VES","Platero","Caiman crocodilus",TRUE,3,27,12.6,NA,NA,47.4,1.4,11.1
"53","VES","Platero","Anolis tropidogaster",FALSE,4,26,12.1,NA,NA,59.5,1.4,14.8
"54","VES","Platero","Loxopholis rugiceps",FALSE,5,19,8.8,NA,NA,68.4,1.3,18.5
"55","VES","Platero","Lepidoblepharis xanthostigma",FALSE,6,10,4.7,NA,NA,73,1,22.2
"56","VES","Platero","Mabuya",FALSE,7,6,2.8,NA,NA,75.8,0.8,25.9
"57","VES","Platero","Kinosternon scorpioides",FALSE,8,6,2.8,NA,NA,78.6,0.8,29.6
"58","VES","Platero","Cnemidophorus lemniscatus",FALSE,9,5,2.3,NA,NA,80.9,0.7,33.3
"59","VES","Platero","Chironius spixii",FALSE,10,5,2.3,NA,NA,83.3,0.7,37
"60","VES","Platero","Imantodes cenchoa",FALSE,11,5,2.3,NA,NA,85.6,0.7,40.7
"61","VES","Platero","Leptodeira annulata",FALSE,12,5,2.3,NA,NA,87.9,0.7,44.4
"62","VES","Platero","Iguana iguana",FALSE,13,4,1.9,NA,NA,89.8,0.6,48.1
"63","VES","Platero","Gonatodes albogularis",FALSE,14,3,1.4,NA,NA,91.2,0.5,51.9
"64","VES","Platero","Helicops danieli",FALSE,15,3,1.4,NA,NA,92.6,0.5,55.6
"65","VES","Platero","Diploglossus monotropis",FALSE,16,2,0.9,NA,NA,93.5,0.3,59.3
"66","VES","Platero","Rhinoclemmys melanosterna",FALSE,17,2,0.9,NA,NA,94.4,0.3,63
"67","VES","Platero","Corallus ruschenbergerii",FALSE,18,2,0.9,NA,NA,95.3,0.3,66.7
"68","VES","Platero","Pseudoboa neuwiedii",FALSE,19,2,0.9,NA,NA,96.3,0.3,70.4
"69","VES","Platero","Leptophis ahaetulla",FALSE,20,1,0.5,NA,NA,96.7,0,74.1
"70","VES","Platero","Micrurus dumerilii",FALSE,21,1,0.5,NA,NA,97.2,0,77.8
"71","VES","Platero","Thamnodynastes gambotensis",FALSE,22,1,0.5,NA,NA,97.7,0,81.5
"72","VES","Platero","Ameiva bifrontata",FALSE,23,1,0.5,NA,NA,98.1,0,85.2
"73","VES","Platero","Dendrophidion percarinatum",FALSE,24,1,0.5,NA,NA,98.6,0,88.9
"74","VES","Platero","Bothrops asper",FALSE,25,1,0.5,NA,NA,99.1,0,92.6
"75","VES","Platero","Erythrolamprus melanotus",FALSE,26,1,0.5,NA,NA,99.5,0,96.3
"76","VES","Platero","Tantilla melanocephala",FALSE,27,1,0.5,NA,NA,100,0,100
